id,name,type,country,age,value,category
Diaby,Moussa Diaby,3,Frankreich,22,600,young
Paulinho,Paulinho,3,Brasilien,21,110,young
Adli,Amine Adli,3,Frankreich,22,120,young
Bellarabi,Karim Bellarabi,3,Deutschland,32,30,rusty
Schick,Patrik Schick,3,Tschechien,26,500,mid
Azmoun,Sardar Azmoun,3,Iran,27,220,mid
Alario,Lucas Alario,3,Argentinien,29,80,old
Pohjanpalo,Joel Pohjanpalo,3,Finnland,27,25,mid
Gedikli,Emrehan Gedikli,3,Deutschland,19,12,teen
Bravo,Iker Bravo,3,Spanien,17,10,teen
RBL,RB Leipzig,2,,,,
Gulacsi,Peter Gulacsi,3,Ungarn,32,80,rusty
Martinez,Josep Martinez,3,Spanien,24,22,mid
Tschauner,Philipp Tschauner,3,Deutschland,36,3,rusty
Eutinger,Fabian Eutinger,3,Deutschland,18,1,teen
Gvardiol,Josko Gvardiol,3,Kroatien,20,350,young
Simakan,Mohamed Simakan,3,Frankreich,22,220,young
Klostermann,Lukas Klostermann,3,Deutschland,26,180,mid
Orban,Willi Orban,3,Ungarn,29,100,old
Lelle,David Lelle,3,Deutschland,19,,teen
Angelino,Angelino,3,Spanien,25,300,mid
Halstenberg,Marcel Halstenberg,3,Deutschland,30,50,old
Mukiele,Nordi Mukiele,3,Frankreich,24,200,mid
Henrichs,Benjamin Henrichs,3,Deutschland,25,140,mid
Bonnah,Solomon Bonnah,3,Niederlande,18,8,teen
AdamsT,Tyler Adams,3,USA,23,170,young
Laimer,Konrad Laimer,3,Oesterreich,25,280,mid
Haidara,Amadou Haidara,3,Mali,24,240,mid
Moriba,Ilaix Moriba,3,Guinea,19,90,teen
Kampl,Kevin Kampl,3,Slowenien,31,60,old
Raebiger,Sidney Raebiger,3,Deutschland,17,8,teen
Klefisch,Ben Klefisch,3,Deutschland,19,2,teen
Olmo,Dani Olmo,3,Spanien,24,400,mid
Wosz,Joscha Wosz,3,Deutschland,19,4,teen
Szoboszlai,Dominik Szoboszlai,3,Ungarn,21,280,young
Forsberg,Emil Forsberg,3,Schweden,30,110,old
Ibrahimi,Mehmet Ibrahimi,3,Deutschland,19,,teen
Novoa,Hugo Novoa,3,Spanien,19,30,teen
Hartmann,Fabrice Hartmann,3,Deutschland,21,3,young
Nkunku,Christopher Nkunku,3,Frankreich,24,800,mid
Silva,Andre Silva,3,Portugal,26,320,mid
Hwang,Hee-chan Hwang,3,Suedkorea,26,160,mid
Poulsen,Yussuf Poulsen,3,Daenemark,28,140,old
Brobbey,Brian Brobbey,3,Niederlande,20,90,young
FCU,1 FC Union Berlin,2,,,,
Roennow,Frederik Roennow,3,Daenemark,29,20,old
Luthe,Andreas Luthe,3,Deutschland,35,8,rusty
Busk,Jakob Busk,3,Daenemark,28,3,old
Petzsch,Niklas Petzsch,3,Deutschland,18,,teen
Stein,Yannic Stein,3,Deutschland,17,,teen
Jaeckel,Paul Jaeckel,3,Deutschland,23,50,young
Baumgartl,Timo Baumgartl,3,Deutschland,26,50,mid
Knoche,Robin Knoche,3,Deutschland,30,50,old
Heintz,Dominique Heintz,3,Deutschland,28,25,old
van Drongelen,Rick van Drongelen,3,Niederlande,23,15,young
Bruns,Mathis Bruns,3,Deutschland,18,2,teen
Puchacz,Tymoteusz Puchacz,3,Polen,23,23,young
Giesselmann,Niko Giesselmann,3,Deutschland,30,23,old
Oczipka,Bastian Oczipka,3,Deutschland,33,6,rusty
Ryerson,Julian Ryerson,3,Norwegen,24,40,mid
Trimmel,Christopher Trimmel,3,Oesterreich,35,9,rusty
Dehl,Laurenz Dehl,3,Deutschland,20,3,young
Khedira,Rani Khedira,3,Deutschland,28,60,old
Proemel,Grischa Proemel,3,Deutschland,27,75,mid
SchaeferA,Andras Schaefer,3,Ungarn,23,20,young
Oeztunali,Levin Oeztunali,3,Deutschland,26,15,mid
Moehwald,Kevin Moehwald,3,Deutschland,28,15,old
SchneiderF,Fabio Schneider,3,Deutschland,19,2,teen
Somnitz,Maximilian Somnitz,3,Deutschland,19,2,teen
Wszolek,Pawel Wszolek,3,Polen,30,12,old
Haraguchi,Genki Haraguchi,3,Japan,31,25,old
EndoK,Keita Endo,3,Japan,24,9,mid
Becker,Sheraldo Becker,3,Suriname,27,70,mid
Awoniyi,Taiwo Awoniyi,3,Nigeria,24,200,mid
Voglsammer,Andreas Voglsammer,3,Deutschland,30,12,old
MichelS,Sven Michel,3,Deutschland,31,12,old
Teuchert,Cedric Teuchert,3,Deutschland,25,9,mid
Behrens,Kevin Behrens,3,Deutschland,31,9,old
Ujah,Anthony Ujah,3,Nigeria,31,5,old
Abdullahi,Suleiman Abdullahi,3,Nigeria,25,4,mid
SCF,SC Freiburg,2,,,,
Flekken,Mark Flekken,3,Niederlande,29,70,old
Atubolu,Noah Atubolu,3,Deutschland,20,15,young
Uphoff,Benjamin Uphoff,3,Deutschland,28,5,old
SchlotterbeckN,Nico Schlotterbeck,3,Deutschland,22,330,young
Lienhart,Philipp Lienhart,3,Oesterreich,25,180,mid
SchlotterbeckK,Keven Schlotterbeck,3,Deutschland,25,30,mid
Gulde,Manuel Gulde,3,Deutschland,31,17,old
Sildillia,Kiliann Sildillia,3,Frankreich,20,15,young
SchmidtK,Kenneth Schmidt,3,Deutschland,20,5,young
Guenter,Christian Guenter,3,Deutschland,29,120,old
Ezekwem,Kimberly Ezekwem,3,Deutschland,21,3,young
Siquet,Hugo Siquet,3,Belgien,19,55,teen
Kuebler,Lukas Kuebler,3,Deutschland,29,23,old
Schmid,Jonathan Schmid,3,Frankreich,32,12,rusty
Keitel,Yannik Keitel,3,Deutschland,22,40,young
Hoefler,Nicolas Hoefler,3,Deutschland,32,25,rusty
Engelhardt,Yannik Engelhardt,3,Deutschland,21,4,young
Santamaria,Baptiste Santamaria,3,Frankreich,27,140,mid
Eggestein,Maximilian Eggestein,3,Deutschland,25,80,mid
Haberer,Janik Haberer,3,Deutschland,28,35,old
Wagner,Robert Wagner,3,Deutschland,18,5,teen
Grifo,Vincenzo Grifo,3,Italien,29,120,old
Weisshaupt,Noah Weisshaupt,3,Deutschland,20,17,young
Sallai,Roland Sallai,3,Ungarn,25,120,mid
Schade,Kevin Schade,3,Deutschland,20,70,young
Jeong,Woo-Yeong Jeong,3,Suedkorea,22,55,young
Hoeler,Lucas Hoeler,3,Deutschland,27,65,mid
Demirovic,Ermedin Demirovic,3,Bosnien-Herzegowina,24,60,mid
Petersen,Nils Petersen,3,Deutschland,33,15,rusty
Vermeij,Vincent Vermeij,3,Niederlande,27,4,mid
Burkart,Nishan Burkart,3,Schweiz,22,4,young
FCK,1 FC Koeln,2,,,,
Schwaebe,Marvin Schwaebe,3,Deutschland,27,40,mid
HornT,Timo Horn,3,Deutschland,29,20,old
Urbig,Jonas Urbig,3,Deutschland,18,3,teen
Koebbing,Matthias Koebbing,3,Deutschland,25,0,mid
Huebers,Timo Huebers,3,Deutschland,25,75,mid
Kilian,Luca Kilian,3,Deutschland,22,45,young
Mere,Jorge Mere,3,Spanien,25,25,mid
Chabot,Julian Chabot,3,Deutschland,24,20,mid
Arrey-Mbi,Bright-Akwo Arrey-Mbi,3,Deutschland,19,13,teen
Czichos,Rafael Czichos,3,Deutschland,32,10,rusty
Hector,Jonas Hector,3,Deutschland,32,35,rusty
HornJ,Jannes Horn,3,Deutschland,25,18,mid
Katterbach,Noah Katterbach,3,Deutschland,21,17,young
Schmitz,Benno Schmitz,3,Deutschland,27,30,mid
Ehizibue,Kingsley Ehizibue,3,Nigeria,27,13,mid
Skhiri,Ellyes Skhiri,3,Tunesien,27,130,mid
Ljubicic,Dejan Ljubicic,3,Oesterreich,24,75,mid
Oezcan,Salih Oezcan,3,Tuerkei,24,130,mid
Hauptmann,Niklas Hauptmann,3,Deutschland,26,4,mid
Olesen,Mathias Olesen,3,Luxemburg,21,4,young
Duda,Ondrej Duda,3,Slowakei,27,40,mid
Schaub,Louis Schaub,3,Oesterreich,27,18,mid
Ostrak,Tomas Ostrak,3,Tschechien,22,8,young
Kainz,Florian Kainz,3,Oesterreich,29,35,old
Obuz,Marvin Obuz,3,Deutschland,20,3,young
Thielmann,Jan Thielmann,3,Deutschland,20,75,young
Schindler,Kingsley Schindler,3,Deutschland,28,8,old
Uth,Mark Uth,3,Deutschland,30,30,old
Modeste,Anthony Modeste,3,Frankreich,34,30,rusty
Andersson,Sebastian Andersson,3,Schweden,30,20,old
Lemperle,Tim Lemperle,3,Deutschland,20,20,young
FSV,1 FSV Mainz 05,2,,,,
Zentner,Robin Zentner,3,Deutschland,26,50,mid
Dahmen,Finn Dahmen,3,Deutschland,23,15,young
Rieß,Lasse Rieß,3,Deutschland,19,2,teen
Niakhate,Moussa Niakhate,3,Senegal,25,180,mid
St Juste,Jeremiah St Juste,3,Niederlande,24,160,mid
Bell,Stefan Bell,3,Deutschland,29,25,old
HackA,Alexander Hack,3,Deutschland,27,25,mid
Nemeth,David Nemeth,3,Oesterreich,20,23,young
Martin,Aaron Martin,3,Spanien,24,50,mid
Lucoqui,Anderson Lucoqui,3,Angola,23,18,young
Widmer,Silvan Widmer,3,Schweiz,28,50,old
Brosinski,Daniel Brosinski,3,Deutschland,32,5,rusty
Stach,Anton Stach,3,Deutschland,22,130,young
Tauer,Niklas Tauer,3,Deutschland,20,15,young
Fuerstner,Stephan Fuerstner,3,Deutschland,33,1,rusty
Barreiro,Leandro Barreiro,3,Luxemberg,21,80,young
Kohr,Dominik Kohr,3,Deutschland,27,50,mid
Fernandes,Edimilson Fernandes,3,Schweiz,25,20,mid
Papela,Merveille Papela,3,Deutschland,20,4,young
Shabani,Eniss Shabani,3,Deutschland,18,2,teen
Rupil,Timothe Rupil,3,Luxemberg,18,1,teen
Boetius,Jean Paul Boetius,3,Niederlande,27,40,mid
LeeJ,Jae sung Lee,3,Suedkorea,28,30,old
Stoeger,Kevin Stoeger,3,Oesterreich,27,16,mid
Burgzorg,Delano Burgzorg,3,Niederlande,22,20,young
Bobzien,Ben Bobzien,3,Deutschland,18,3,teen
Nebel,Paul Nebel,3,Deutschland,18,13,teen
Mizuta,Kaio Mizuta,3,Japan,21,2,young
Burkhardt,Jonathan Burkhardt,3,Deutschland,20,170,young
Onisiwo,Karim Onisiwo,3,Oesterreich,29,35,old
Ingvartsen,Marcus Ingvartsen,3,Daenemark,25,25,mid
Szalai,Adam Szalai,3,Ungarn,33,5,rusty
Roesch,Romario Roesch,3,Deutschland,22,2,young
TSG,TSG 1899 Hoffenheim,2,,,,
Baumann,Oliver Baumann,3,Deutschland,31,45,old
Pentke,Philipp Pentke,3,Deutschland,36,3,rusty
PhilippL,Luca Philipp,3,Deutschland,20,3,young
Noll,Nahue Noll,3,Deutschland,20,3,young
Posch,Stefan Posch,3,Oesterreich,24,100,mid
Akpoguma,Kevin Akpoguma,3,Nigeria,26,60,mid
Vogt,Kevin Vogt,3,Deutschland,29,35,old
Che,Justin Che ,3,USA,17,30,teen
Bicakcic,Ermin Bicakcic,3,Bosnien-Herzegowina,31,10,old
Nordtveit,Havard Nordtveit,3,Norwegen,31,10,old
AdamsK,Kasim Adams,3,Ghana,26,10,mid
Huebner,Benjamin Huebner,3,Deutschland,31,10,old
Haider,Gabriel Haider,3,Oesterreich,19,1,teen
Koenig,Noah Koenig,3,Deutschland,18,1,teen
Raum,David Raum,3,Deutschland,23,200,young
John,Marco John,3,Deutschland,23,200,young
Kaderabek,Pavel Kaderabek,3,Tschechien,29,50,old
Grillitsch,Florian Grillitsch,3,Oesterreich,25,160,mid
Stiller,Angelo Stiller,3,Deutschland,20,70,young
Rudy,Sebastian Rudy,3,Deutschland,31,15,old
Bogarde,Melayro Bogarde,3,Niederlande,19,12,teen
Rueth,Fabian Rueth,3,Deutschland,19,1,teen
Samassekou,Diadie Samassekou,3,Mali,25,16,mid
Geiger,Dennis Geiger,3,Deutschland,23,90,young
Tohumcu,Umut Tohumcu,3,Deutschland,16,2,teen
Baumgartner,Christoph Baumgartner,3,Deutschland,21,220,young
Gacinovic,Mijat Gacinovic,3,Serbien,26,25,mid
Bischof,Tom Bischof,3,Deutschland,17,10,teen
Bruun Larsen,Jacob Bruun Larsen,3,Daenemark,23,60,young
Conte,Bambase Conte,3,Deutschland,18,2,teen
Skov,Robert Skov,3,Daenemark,26,70,mid
Bebou,Ihlas Bebou,3,Togo,28,160,old
Rutter,Georginio Rutter,3,Frankreich,20,160,young
Kramaric,Andrej Kramaric,3,Kroatien,31,120,old
Dabbur,Munas Dabbur,3,Israel,30,40,old
Adamyan,Sargis Adamyan,3,Armenien,29,35,old
Beier,Maximilian Beier,3,Deutschland,19,30,teen
Asllani,Fisnik Asllani,3,Deutschland,19,4,teen
Proschwitz,Nick Proschwitz,3,Deutschland,35,2,rusty
BMG,Borussia Moenchengladbach,2,,,,
Sommer,Yann Sommer,3,Schweiz,33,50,rusty
Sippel,Tobias Sippel,3,Deutschland,34,4,rusty
Olschokowsky,Jan Olschokowsky,3,Deutschland,20,3,young
Kersken,Jonas Kersken,3,Deutschland,21,1,young
Ginter,Matthias Ginter,3,Deutschland,28,180,old
Elvedi,Nico Elvedi,3,Schweiz,25,180,mid
Friedrich,Marvin Friedrich,3,Deutschland,26,80,mid
Beyer,Jordan Beyer,3,Deutschland,22,45,young
Jantschke,Tony Jantschke,3,Deutschland,32,8,rusty
Gaal,Tom Gaal,3,Deutschland,21,1,young
Doucoure,Mamadou Doucoure,3,Frankreich,24,1,mid
Bensebaini,Ramy Bensebaini,3,Algerien,27,17,mid
Netz,Luca Netz,3,Deutschland,19,65,teen
Scally,Joe Scally,3,USA,19,80,teen
Lainer,Stefan Lainer,3,Oesterreich,29,45,old
Zakaria,Denis Zakaria,3,Schweiz,25,270,mid
Kramer,Christoph Kramer,3,Deutschland,31,25,old
Neuhaus,Florian Neuhaus,3,Deutschland,25,200,mid
Kone,Kouadio Kone,3,Frankreich,21,180,young
Benes,Laszlo Benes,3,Slowakei,24,30,mid
Bennetts,Keanan Bennetts,3,Deutschland,23,10,young
WolfH,Hannes Wolf,3,Oesterreich,23,50,young
Stindl,Lars Stindl,3,Deutschland,33,25,rusty
Noss,Conor Noss,3,Irland,21,7,young
Muesel,Torben Muesel,3,Deutschland,22,4,young
Plea,Alassane Plea,3,Frankreich,29,150,old
Schroers,Mika Schroers,3,Deutschland,20,1,young
Hofmann,Jonas Hofmann,3,Deutschland,29,130,old
Herrmann,Patrick Herrmann,3,Deutschland,31,23,old
