from,to,relationship,rank,agency,category,worth
Reyna,BVB,2,12,BVB,teen,average
Brandt,none,1,12,none,mid,average
Brandt,BVB,2,12,BVB,mid,average
Reus,Hebel,1,12,Hebel,rusty,cheap
Reus,BVB,2,12,BVB,rusty,cheap
Reinier,Bertolucci,1,12,Bertolucci,young,cheap
Reinier,BVB,2,12,BVB,young,cheap
Pherai,Pimenta,1,12,Pimenta,young,nothing
Pherai,BVB,2,12,BVB,young,nothing
Guerpuez,Sports360,1,12,Sports360,teen,nothing
Guerpuez,BVB,2,12,BVB,teen,nothing
Hazard,none,1,12,none,old,cheap
Hazard,BVB,2,12,BVB,old,cheap
Knauff,HSP,1,12,HSP,young,cheap
Knauff,BVB,2,12,BVB,young,cheap
WolfM,ROGON,1,12,ROGON,mid,cheap
WolfM,BVB,2,12,BVB,mid,cheap
Bynoe-Gittens,Elite,1,12,Elite,teen,low
Bynoe-Gittens,BVB,2,12,BVB,teen,low
Haaland,Pimenta,1,12,Pimenta,young,expensive
Haaland,BVB,2,12,BVB,young,expensive
Malen,Pimenta,1,12,Pimenta,young,average
Malen,BVB,2,12,BVB,young,average
Moukoko,none,1,12,none,teen,cheap
Moukoko,BVB,2,12,BVB,teen,cheap
Tigges,NOACK,1,12,NOACK,young,low
Tigges,BVB,2,12,BVB,young,low
Nijnmah,Tenet,1,12,Tenet,young,nothing
Nijnmah,BVB,2,12,BVB,young,nothing
Hradecky,none,1,13,none,rusty,low
Hradecky,LEV,2,13,LEV,rusty,low
Lunev,none,1,13,none,old,low
Lunev,LEV,2,13,LEV,old,low
Grill,Soccertalk,1,13,Soccertalk,young,nothing
Grill,LEV,2,13,LEV,young,nothing
Lomb,Hebel,1,13,Hebel,old,nothing
Lomb,LEV,2,13,LEV,old,nothing
Neutgens,Epic,1,13,Epic,teen,nothing
Neutgens,LEV,2,13,LEV,teen,nothing
Tapsoba,D20,1,13,D20,young,average
Tapsoba,LEV,2,13,LEV,young,average
Tah,HuGu,1,13,HuGu,mid,average
Tah,LEV,2,13,LEV,mid,average
Kossounou,GSM,1,13,GSM,young,cheap
Kossounou,LEV,2,13,LEV,young,cheap
Hincapie,Division,1,13,Division,young,cheap
Hincapie,LEV,2,13,LEV,young,cheap
Retsos,LIAN,1,13,LIAN,young,low
Retsos,LEV,2,13,LEV,young,low
Fofana,Soccer,1,13,Soccer,teen,nothing
Fofana,LEV,2,13,LEV,teen,nothing
Bakker,Pimenta,1,13,Pimenta,young,cheap
Bakker,LEV,2,13,LEV,young,cheap
Wendell,none,1,13,none,old,low
Wendell,LEV,2,13,LEV,old,low
Sinkgraven,SV,1,13,SV,mid,low
Sinkgraven,LEV,2,13,LEV,mid,low
Frimpong,Prolific,1,13,Prolific,young,cheap
Frimpong,LEV,2,13,LEV,young,cheap
Fosu-Mensah,CAA,1,13,CAA,mid,low
Fosu-Mensah,LEV,2,13,LEV,mid,low
Weiser,ROOF,1,13,ROOF,old,low
Weiser,LEV,2,13,LEV,old,low
Baumgartlinger,PROProfil,1,13,PROProfil,rusty,nothing
Baumgartlinger,LEV,2,13,LEV,rusty,nothing
Demirbay,EMG,1,13,EMG,old,cheap
Demirbay,LEV,2,13,LEV,old,cheap
Palacios,Eleven,1,13,Eleven,young,cheap
Palacios,LEV,2,13,LEV,young,cheap
Andrich,Teamplayer,1,13,Teamplayer,mid,cheap
