from,to,relationship,rank,agency,category,worth
Che,TSG,2,19,TSG,teen,low
Bicakcic,SBS,1,19,SBS,old,nothing
Bicakcic,TSG,2,19,TSG,old,nothing
Nordtveit,SPS,1,19,SPS,old,nothing
Nordtveit,TSG,2,19,TSG,old,nothing
AdamsK,SISCM,1,19,SISCM,mid,nothing
AdamsK,TSG,2,19,TSG,mid,nothing
Huebner,Soccertalk,1,19,Soccertalk,old,nothing
Huebner,TSG,2,19,TSG,old,nothing
Haider,none,1,19,none,teen,nothing
Haider,TSG,2,19,TSG,teen,nothing
Koenig,none,1,19,none,teen,nothing
Koenig,TSG,2,19,TSG,teen,nothing
Raum,ROOF,1,19,ROOF,young,cheap
Raum,TSG,2,19,TSG,young,cheap
John,SBS,1,19,SBS,young,cheap
John,TSG,2,19,TSG,young,cheap
Kaderabek,none,1,19,none,old,low
Kaderabek,TSG,2,19,TSG,old,low
Grillitsch,YOUFIRST,1,19,YOUFIRST,mid,cheap
Grillitsch,TSG,2,19,TSG,mid,cheap
Stiller,YOUM,1,19,YOUM,young,cheap
Stiller,TSG,2,19,TSG,young,cheap
Rudy,none,1,19,none,old,low
Rudy,TSG,2,19,TSG,old,low
Bogarde,Wasserman,1,19,Wasserman,teen,low
Bogarde,TSG,2,19,TSG,teen,low
Rueth,SchneiderR,1,19,SchneiderR,teen,nothing
Rueth,TSG,2,19,TSG,teen,nothing
Samassekou,ROOF,1,19,ROOF,mid,low
Samassekou,TSG,2,19,TSG,mid,low
Geiger,WINStar,1,19,WINStar,young,cheap
Geiger,TSG,2,19,TSG,young,cheap
Tohumcu,ROGON,1,19,ROGON,teen,nothing
Tohumcu,TSG,2,19,TSG,teen,nothing
Baumgartner,YOUFIRST,1,19,YOUFIRST,young,average
Baumgartner,TSG,2,19,TSG,young,average
Gacinovic,SoccerM,1,19,SoccerM,mid,low
Gacinovic,TSG,2,19,TSG,mid,low
Bischof,none,1,19,none,teen,nothing
Bischof,TSG,2,19,TSG,teen,nothing
Bruun Larsen,Boutique,1,19,Boutique,young,cheap
Bruun Larsen,TSG,2,19,TSG,young,cheap
Conte,ROGON,1,19,ROGON,teen,nothing
Conte,TSG,2,19,TSG,teen,nothing
Skov,Boutique,1,19,Boutique,mid,cheap
Skov,TSG,2,19,TSG,mid,cheap
Bebou,Wasserman,1,19,Wasserman,old,cheap
Bebou,TSG,2,19,TSG,old,cheap
Rutter,ROGON,1,19,ROGON,young,cheap
Rutter,TSG,2,19,TSG,young,cheap
Kramaric,none,1,19,none,old,cheap
Kramaric,TSG,2,19,TSG,old,cheap
Dabbur,SoccerM,1,19,SoccerM,old,low
Dabbur,TSG,2,19,TSG,old,low
Adamyan,Herzog,1,19,Herzog,old,low
Adamyan,TSG,2,19,TSG,old,low
Beier,Euro,1,19,Euro,teen,low
Beier,TSG,2,19,TSG,teen,low
Asllani,ROGON,1,19,ROGON,teen,nothing
Asllani,TSG,2,19,TSG,teen,nothing
Proschwitz,ROOF,1,19,ROOF,rusty,nothing
Proschwitz,TSG,2,19,TSG,rusty,nothing
Sommer,none,1,20,none,rusty,low
Sommer,BMG,2,20,BMG,rusty,low
Sippel,MichaelB,1,20,MichaelB,rusty,nothing
Sippel,BMG,2,20,BMG,rusty,nothing
Olschokowsky,B360,1,20,B360,young,nothing
Olschokowsky,BMG,2,20,BMG,young,nothing
Kersken,LowensSport,1,20,LowensSport,young,nothing
Kersken,BMG,2,20,BMG,young,nothing
Ginter,Unique,1,20,Unique,old,cheap
Ginter,BMG,2,20,BMG,old,cheap
Elvedi,IFM,1,20,IFM,mid,cheap
Elvedi,BMG,2,20,BMG,mid,cheap
Friedrich,ROOF,1,20,ROOF,mid,cheap
Friedrich,BMG,2,20,BMG,mid,cheap
Beyer,SchneiderR,1,20,SchneiderR,young,low
Beyer,BMG,2,20,BMG,young,low
Jantschke,Froehlich,1,20,Froehlich,rusty,nothing
Jantschke,BMG,2,20,BMG,rusty,nothing
Gaal,NOACK,1,20,NOACK,young,nothing
Gaal,BMG,2,20,BMG,young,nothing
Doucoure,SAM,1,20,SAM,mid,nothing
Doucoure,BMG,2,20,BMG,mid,nothing
Bensebaini,HCM,1,20,HCM,mid,low
Bensebaini,BMG,2,20,BMG,mid,low
Netz,11WINS,1,20,11WINS,teen,cheap
Netz,BMG,2,20,BMG,teen,cheap
Scally,Wasserman,1,20,Wasserman,teen,cheap
Scally,BMG,2,20,BMG,teen,cheap
Lainer,ROOF,1,20,ROOF,old,low
Lainer,BMG,2,20,BMG,old,low
Zakaria,HCM,1,20,HCM,mid,average
Zakaria,BMG,2,20,BMG,mid,average
Kramer,ROOF,1,20,ROOF,old,low
Kramer,BMG,2,20,BMG,old,low
Neuhaus,CN,1,20,CN,mid,cheap
Neuhaus,BMG,2,20,BMG,mid,cheap
Kone,Classico,1,20,Classico,young,cheap
Kone,BMG,2,20,BMG,young,cheap
Benes,ROOF,1,20,ROOF,mid,low
Benes,BMG,2,20,BMG,mid,low
Bennetts,DC,1,20,DC,young,nothing
Bennetts,BMG,2,20,BMG,young,nothing
WolfH,HCM,1,20,HCM,young,low
WolfH,BMG,2,20,BMG,young,low
Stindl,Hebel,1,20,Hebel,rusty,low
Stindl,BMG,2,20,BMG,rusty,low
Noss,LEADERBROCK,1,20,LEADERBROCK,young,nothing
Noss,BMG,2,20,BMG,young,nothing
Muesel,act,1,20,act,young,nothing
Muesel,BMG,2,20,BMG,young,nothing
Plea,SCS,1,20,SCS,old,cheap
Plea,BMG,2,20,BMG,old,cheap
Schroers,VIDA,1,20,VIDA,young,nothing
Schroers,BMG,2,20,BMG,young,nothing
Hofmann,Gutfleisch,1,20,Gutfleisch,old,cheap
Hofmann,BMG,2,20,BMG,old,cheap
Herrmann,PROProfil,1,20,PROProfil,old,low
Herrmann,BMG,2,20,BMG,old,low
Thuram,SC,1,20,SC,mid,cheap
Thuram,BMG,2,20,BMG,mid,cheap
Embolo,ESHA,1,20,ESHA,mid,cheap
Embolo,BMG,2,20,BMG,mid,cheap
Trapp,Sports360,1,21,Sports360,old,cheap
Trapp,EFF,2,21,EFF,old,cheap
Ramaj,BMS,1,21,BMS,young,nothing
Ramaj,EFF,2,21,EFF,young,nothing
Horz,SEG,1,21,SEG,teen,nothing
Horz,EFF,2,21,EFF,teen,nothing
Grahl,PESM,1,21,PESM,rusty,nothing
Grahl,EFF,2,21,EFF,rusty,nothing
Bignetti,FF,1,21,FF,rusty,nothing
Bignetti,EFF,2,21,EFF,rusty,nothing
Ndicka,AMS,1,21,AMS,young,average
Ndicka,EFF,2,21,EFF,young,average
Tuta,Wolfs,1,21,Wolfs,young,cheap
Tuta,EFF,2,21,EFF,young,cheap
Hinteregger,WIM,1,21,WIM,old,cheap
Hinteregger,EFF,2,21,EFF,old,cheap
Toure,none,1,21,none,mid,low
Toure,EFF,2,21,EFF,mid,low
Hasebe,PROProfil,1,21,PROProfil,rusty,nothing
Hasebe,EFF,2,21,EFF,rusty,nothing
Lenz,ROOF,1,21,ROOF,mid,low
Lenz,EFF,2,21,EFF,mid,low
Schroeder,ROGON,1,21,ROGON,teen,nothing
Schroeder,EFF,2,21,EFF,teen,nothing
da Costa,Sports360,1,21,Sports360,old,low
da Costa,EFF,2,21,EFF,old,low
Durm,Haspel,1,21,Haspel,old,low
Durm,EFF,2,21,EFF,old,low
Chandler,eXcellence,1,21,eXcellence,rusty,low
Chandler,EFF,2,21,EFF,rusty,low
Jakic,Niagara,1,21,Niagara,mid,cheap
Jakic,EFF,2,21,EFF,mid,cheap
Ilsanker,MTS,1,21,MTS,rusty,nothing
Ilsanker,EFF,2,21,EFF,rusty,nothing
Sow,SISCM,1,21,SISCM,mid,average
Sow,EFF,2,21,EFF,mid,average
Rode,PROProfil,1,21,PROProfil,old,low
Rode,EFF,2,21,EFF,old,low
Barkok,eXcellence,1,21,eXcellence,mid,low
Barkok,EFF,2,21,EFF,mid,low
Foti,YOUFIRST,1,21,YOUFIRST,teen,nothing
Foti,EFF,2,21,EFF,teen,nothing
Kostic,WSA,1,21,WSA,old,average
Kostic,EFF,2,21,EFF,old,average
Kamada,RobertoT,1,21,RobertoT,mid,average
Kamada,EFF,2,21,EFF,mid,average
Lindstroem,NSG,1,21,NSG,young,cheap
Lindstroem,EFF,2,21,EFF,young,cheap
Hrustic,LIAN,1,21,LIAN,mid,low
Hrustic,EFF,2,21,EFF,mid,low
Zuber,SoccerM,1,21,SoccerM,old,low
Zuber,EFF,2,21,EFF,old,low
Younes,FUTURE11,1,21,FUTURE11,old,low
Younes,EFF,2,21,EFF,old,low
SchaeferG,ICMStellar,1,21,ICMStellar,teen,nothing
SchaeferG,EFF,2,21,EFF,teen,nothing
Hauge,Atta,1,21,Atta,young,cheap
Hauge,EFF,2,21,EFF,young,cheap
Borre,none,1,21,none,mid,cheap
Borre,EFF,2,21,EFF,mid,cheap
Paciencia,Proeleven,1,21,Proeleven,mid,low
Paciencia,EFF,2,21,EFF,mid,low
Lammers,ISM,1,21,ISM,mid,low
Lammers,EFF,2,21,EFF,mid,low
Ache,Sports360,1,21,Sports360,young,low
Ache,EFF,2,21,EFF,young,low
Herrero,none,1,21,none,teen,nothing
Herrero,EFF,2,21,EFF,teen,nothing
Casteels,none,1,22,none,old,cheap
Casteels,WOB,2,22,WOB,old,cheap
Pervan,ROOF,1,22,ROOF,rusty,nothing
Pervan,WOB,2,22,WOB,rusty,nothing
Schulze,PROProfil,1,22,PROProfil,teen,nothing
Schulze,WOB,2,22,WOB,teen,nothing
Klinger,TPWE,1,22,TPWE,mid,nothing
Klinger,WOB,2,22,WOB,mid,nothing
Lacroix,Hexagon,1,22,Hexagon,young,cheap
Lacroix,WOB,2,22,WOB,young,cheap
Bornauw,vanBuyten,1,22,vanBuyten,young,cheap
Bornauw,WOB,2,22,WOB,young,cheap
Brooks,ROGON,1,22,ROGON,old,cheap
Brooks,WOB,2,22,WOB,old,cheap
van de Ven,Pimenta,1,22,Pimenta,young,low
van de Ven,WOB,2,22,WOB,young,low
MacNulty,LEADERBROCK,1,22,LEADERBROCK,teen,nothing
MacNulty,WOB,2,22,WOB,teen,nothing
Lang,TrueSports,1,22,TrueSports,teen,nothing
Lang,WOB,2,22,WOB,teen,nothing
Otavio,TFM,1,22,TFM,mid,cheap
Otavio,WOB,2,22,WOB,mid,cheap
Roussillon,OnlyPro,1,22,OnlyPro,old,low
Roussillon,WOB,2,22,WOB,old,low
Baku,none,1,22,none,young,cheap
Baku,WOB,2,22,WOB,young,cheap
Mbabu,Excensy,1,22,Excensy,mid,cheap
Mbabu,WOB,2,22,WOB,mid,cheap
William,none,1,22,none,mid,low
William,WOB,2,22,WOB,mid,low
Guilavogui,none,1,22,none,old,low
Guilavogui,WOB,2,22,WOB,old,low
Schlager,ROOF,1,22,ROOF,young,average
Schlager,WOB,2,22,WOB,young,average
Arnold,Herzog,1,22,Herzog,mid,cheap
Arnold,WOB,2,22,WOB,mid,cheap
Vranckx,DWSports,1,22,DWSports,teen,cheap
Vranckx,WOB,2,22,WOB,teen,cheap
Gerhardt,Engels,1,22,Engels,mid,cheap
Gerhardt,WOB,2,22,WOB,mid,cheap
Walther,none,1,22,none,teen,nothing
Walther,WOB,2,22,WOB,teen,nothing
Paredes,none,1,22,none,teen,low
Paredes,WOB,2,22,WOB,teen,low
NmechaF,ROGON,1,22,ROGON,young,low
NmechaF,WOB,2,22,WOB,young,low
Brekalo,Niagara,1,22,Niagara,young,cheap
Brekalo,WOB,2,22,WOB,young,cheap
Marmoush,ICMStellar,1,22,ICMStellar,young,cheap
Marmoush,WOB,2,22,WOB,young,cheap
Steffen,Koegl,1,22,Koegl,old,low
Steffen,WOB,2,22,WOB,old,low
Waldschmidt,Sports360,1,22,Sports360,mid,cheap
Waldschmidt,WOB,2,22,WOB,mid,cheap
PhilippM,Unique,1,22,Unique,mid,low
PhilippM,WOB,2,22,WOB,mid,low
Kruse,EMG,1,22,EMG,rusty,low
Kruse,WOB,2,22,WOB,rusty,low
Mehmedi,IFM,1,22,IFM,old,nothing
Mehmedi,WOB,2,22,WOB,old,nothing
NmechaL,ROGON,1,22,ROGON,young,cheap
NmechaL,WOB,2,22,WOB,young,cheap
Weghorst,OneII,1,22,OneII,old,cheap
Weghorst,WOB,2,22,WOB,old,cheap
Wind,PIS,1,22,PIS,young,cheap
Wind,WOB,2,22,WOB,young,cheap
Bialek,BMGS,1,22,BMGS,teen,low
Bialek,WOB,2,22,WOB,teen,low
Ginczek,Unique,1,22,Unique,old,nothing
Ginczek,WOB,2,22,WOB,old,nothing
Riemann,ROOF,1,23,ROOF,rusty,low
Riemann,BOC,2,23,BOC,rusty,low
Esser,SchneiderR,1,23,SchneiderR,rusty,nothing
Esser,BOC,2,23,BOC,rusty,nothing
Ernst,BMS,1,23,BMS,teen,nothing
Ernst,BOC,2,23,BOC,teen,nothing
Grave,FG,1,23,FG,young,nothing
Grave,BOC,2,23,BOC,young,nothing
Bella-Kotchap,none,1,23,none,teen,cheap
Bella-Kotchap,BOC,2,23,BOC,teen,cheap
Leitsch,Sports360,1,23,Sports360,young,low
Leitsch,BOC,2,23,BOC,young,low
Masovic,none,1,23,none,young,low
Masovic,BOC,2,23,BOC,young,low
Lampropoulos,WoS,1,23,WoS,old,nothing
Lampropoulos,BOC,2,23,BOC,old,nothing
Decarli,none,1,23,none,old,nothing
Decarli,BOC,2,23,BOC,old,nothing
Soares,TDL,1,23,TDL,old,low
Soares,BOC,2,23,BOC,old,low
Stafylidis,ROGON,1,23,ROGON,mid,low
Stafylidis,BOC,2,23,BOC,mid,low
Roemling,FG,1,23,FG,young,nothing
Roemling,BOC,2,23,BOC,young,nothing
Bockhorn,ROOF,1,23,ROOF,mid,nothing
Bockhorn,BOC,2,23,BOC,mid,nothing
Gamboa,Wasserman,1,23,Wasserman,old,nothing
Gamboa,BOC,2,23,BOC,old,nothing
Losilla,Soccertalk,1,23,Soccertalk,rusty,nothing
Losilla,BOC,2,23,BOC,rusty,nothing
Rexhbecaj,Soccertalk,1,23,Soccertalk,young,low
Rexhbecaj,BOC,2,23,BOC,young,low
Loewen,Soccer,1,23,Soccer,mid,low
Loewen,BOC,2,23,BOC,mid,low
Osterhage,HSP,1,23,HSP,young,nothing
Osterhage,BOC,2,23,BOC,young,nothing
Tesche,none,1,23,none,rusty,nothing
Tesche,BOC,2,23,BOC,rusty,nothing
Chibsah,Keyscout,1,23,Keyscout,old,nothing
Chibsah,BOC,2,23,BOC,old,nothing
Pantovic,ROOF,1,23,ROOF,mid,low
Pantovic,BOC,2,23,BOC,mid,low
Weilandt,EMG,1,23,EMG,old,nothing
Weilandt,BOC,2,23,BOC,old,nothing
Holtmann,Tenet,1,23,Tenet,mid,low
Holtmann,BOC,2,23,BOC,mid,low
Antwi-Adjei,KSM,1,23,KSM,mid,nothing
Antwi-Adjei,BOC,2,23,BOC,mid,nothing
Blum,MK,1,23,MK,old,nothing
Blum,BOC,2,23,BOC,old,nothing
Asano,JEB,1,23,JEB,mid,low
Asano,BOC,2,23,BOC,mid,low
Bonga,CAA,1,23,CAA,mid,nothing
Bonga,BOC,2,23,BOC,mid,nothing
Polter,PROProfil,1,23,PROProfil,old,low
Polter,BOC,2,23,BOC,old,low
Locadia,SEG,1,23,SEG,mid,low
Locadia,BOC,2,23,BOC,mid,low
Zoller,GoalSky,1,23,GoalSky,old,low
Zoller,BOC,2,23,BOC,old,low
Ganvoula,BY,1,23,BY,mid,nothing
Ganvoula,BOC,2,23,BOC,mid,nothing
Novothny,StarsFriends,1,23,StarsFriends,mid,nothing
Novothny,BOC,2,23,BOC,mid,nothing
Hartwig,CN,1,23,CN,teen,nothing
Hartwig,BOC,2,23,BOC,teen,nothing
Gikiewicz,Footballgoal,1,24,Footballgoal,rusty,low
Gikiewicz,FCA,2,24,FCA,rusty,low
Koubek,SPORTINVEST,1,24,SPORTINVEST,old,nothing
Koubek,FCA,2,24,FCA,old,nothing
Klein,SBS,1,24,SBS,young,nothing
Klein,FCA,2,24,FCA,young,nothing
Oxford,CAA,1,24,CAA,young,cheap
Oxford,FCA,2,24,FCA,young,cheap
Uduokhai,CN,1,24,CN,young,cheap
Uduokhai,FCA,2,24,FCA,young,cheap
Gouweleeuw,SEG,1,24,SEG,old,low
Gouweleeuw,FCA,2,24,FCA,old,low
Winther,NS,1,24,NS,young,nothing
Winther,FCA,2,24,FCA,young,nothing
Iago,none,1,24,none,mid,cheap
Iago,FCA,2,24,FCA,mid,cheap
Pedersen,NS,1,24,NS,mid,low
Pedersen,FCA,2,24,FCA,mid,low
Guenther,11WINS,1,24,11WINS,teen,nothing
Guenther,FCA,2,24,FCA,teen,nothing
Gumny,Fabryka,1,24,Fabryka,young,low
Gumny,FCA,2,24,FCA,young,low
Framberger,Koegl,1,24,Koegl,mid,low
Framberger,FCA,2,24,FCA,mid,low
Dorsch,CN,1,24,CN,young,cheap
Dorsch,FCA,2,24,FCA,young,cheap
Gruezo,SETH,1,24,SETH,mid,low
Gruezo,FCA,2,24,FCA,mid,low
Strobl,CN,1,24,CN,old,nothing
Strobl,FCA,2,24,FCA,old,nothing
Salifou,Herzog,1,24,Herzog,teen,nothing
Salifou,FCA,2,24,FCA,teen,nothing
Maier,11WINS,1,24,11WINS,young,cheap
Maier,FCA,2,24,FCA,young,cheap
Moravek,MSG,1,24,MSG,old,nothing
Moravek,FCA,2,24,FCA,old,nothing
Civeja,fairsport,1,24,fairsport,teen,nothing
Civeja,FCA,2,24,FCA,teen,nothing
SchmidtD,none,1,24,none,young,nothing
SchmidtD,FCA,2,24,FCA,young,nothing
Jensen,V4S,1,24,V4S,young,low
Jensen,FCA,2,24,FCA,young,low
Vargas,IFM,1,24,IFM,young,cheap
Vargas,FCA,2,24,FCA,young,cheap
Hahn,Sports360,1,24,Sports360,old,low
Hahn,FCA,2,24,FCA,old,low
Sarenren Bazee,Rummenigge,1,24,Rummenigge,mid,nothing
Sarenren Bazee,FCA,2,24,FCA,mid,nothing
Caligiuri,ROOF,1,24,ROOF,rusty,nothing
Caligiuri,FCA,2,24,FCA,rusty,nothing
Pepi,SXI,1,24,SXI,teen,cheap
Pepi,FCA,2,24,FCA,teen,cheap
Gregoritsch,ROGON,1,24,ROGON,mid,low
Gregoritsch,FCA,2,24,FCA,mid,low
Zeqiri,GKSA,1,24,GKSA,young,low
Zeqiri,FCA,2,24,FCA,young,low
Niederlechner,Haspel,1,24,Haspel,old,low
Niederlechner,FCA,2,24,FCA,old,low
Cordova,JV,1,24,JV,young,nothing
Cordova,FCA,2,24,FCA,young,nothing
Finnbogason,none,1,24,none,rusty,nothing
Finnbogason,FCA,2,24,FCA,rusty,nothing
Malone,ROOF,1,24,ROOF,young,nothing
Malone,FCA,2,24,FCA,young,nothing
MuellerF,PROProfil,1,25,PROProfil,young,cheap
MuellerF,VFB,2,25,VFB,young,cheap
Bredlow,SEG,1,25,SEG,mid,nothing
Bredlow,VFB,2,25,VFB,mid,nothing
Schock,none,1,25,none,young,nothing
Schock,VFB,2,25,VFB,young,nothing
Mavropanos,KF,1,25,KF,young,cheap
Mavropanos,VFB,2,25,VFB,young,cheap
Anton,AKA,1,25,AKA,mid,cheap
Anton,VFB,2,25,VFB,mid,cheap
Ito,UNS,1,25,UNS,young,low
Ito,VFB,2,25,VFB,young,low
Maglica,AKA,1,25,AKA,young,nothing
Maglica,VFB,2,25,VFB,young,nothing
Bazzoli,Soccertalk,1,25,Soccertalk,young,nothing
Bazzoli,VFB,2,25,VFB,young,nothing
Sosa,ICMStellar,1,25,ICMStellar,young,average
Sosa,VFB,2,25,VFB,young,average
Stenzel,Unique,1,25,Unique,mid,low
Stenzel,VFB,2,25,VFB,mid,low
EndoW,UNS,1,25,UNS,old,cheap
EndoW,VFB,2,25,VFB,old,cheap
Karazor,EMG,1,25,EMG,mid,low
Karazor,VFB,2,25,VFB,mid,low
Ahamada,YAATS,1,25,YAATS,teen,low
Ahamada,VFB,2,25,VFB,teen,low
Mola,Elite,1,25,Elite,young,nothing
Mola,VFB,2,25,VFB,young,nothing
Weil,EWS,1,25,EWS,rusty,nothing
Weil,VFB,2,25,VFB,rusty,nothing
Mangala,MS,1,25,MS,young,cheap
Mangala,VFB,2,25,VFB,young,cheap
Millot,none,1,25,none,teen,low
Millot,VFB,2,25,VFB,teen,low
Nartey,Boutique,1,25,Boutique,young,low
Nartey,VFB,2,25,VFB,young,low
Silas,MS,1,25,MS,young,cheap
Silas,VFB,2,25,VFB,young,cheap
Thommy,Sports360,1,25,Sports360,mid,low
Thommy,VFB,2,25,VFB,mid,low
Foerster,ROOF,1,25,ROOF,mid,low
Foerster,VFB,2,25,VFB,mid,low
Klimowicz,none,1,25,none,young,low
Klimowicz,VFB,2,25,VFB,young,low
Tibidi,PSM,1,25,PSM,teen,low
Tibidi,VFB,2,25,VFB,teen,low
Klement,TF,1,25,TF,old,nothing
Klement,VFB,2,25,VFB,old,nothing
Beyaz,MS,1,25,MS,teen,low
Beyaz,VFB,2,25,VFB,teen,low
Egloff,VIDA,1,25,VIDA,teen,nothing
Egloff,VFB,2,25,VFB,teen,nothing
Didavi,KAF,1,25,KAF,old,nothing
Didavi,VFB,2,25,VFB,old,nothing
MichelF,YOUFIRST,1,25,YOUFIRST,young,nothing
MichelF,VFB,2,25,VFB,young,nothing
CoulibalyT,none,1,25,none,young,low
CoulibalyT,VFB,2,25,VFB,young,low
Massimo,ROGON,1,25,ROGON,young,low
Massimo,VFB,2,25,VFB,young,low
Churlinov,MS,1,25,MS,young,low
Churlinov,VFB,2,25,VFB,young,low
Fuehrich,KL,1,25,KL,young,low
Fuehrich,VFB,2,25,VFB,young,low
Kalajdzic,SPOCS,1,25,SPOCS,young,average
Kalajdzic,VFB,2,25,VFB,young,average
Tomas,Proeleven,1,25,Proeleven,young,cheap
Tomas,VFB,2,25,VFB,young,cheap
Faghir,Boutique,1,25,Boutique,teen,low
Faghir,VFB,2,25,VFB,teen,low
Sankoh,TKG,1,25,TKG,teen,nothing
Sankoh,VFB,2,25,VFB,teen,nothing
Al Ghaddioui,Sports360,1,25,Sports360,old,nothing
Al Ghaddioui,VFB,2,25,VFB,old,nothing
Schwolow,feelsoccer,1,26,feelsoccer,old,low
Schwolow,BSC,2,26,BSC,old,low
Christensen,Boutique,1,26,Boutique,young,low
Christensen,BSC,2,26,BSC,young,low
Lotka,SEG,1,26,SEG,young,low
Lotka,BSC,2,26,BSC,young,low
Koerber,EMG,1,26,EMG,mid,nothing
Koerber,BSC,2,26,BSC,mid,nothing
Jarstein,GPM,1,26,GPM,rusty,nothing
Jarstein,BSC,2,26,BSC,rusty,nothing
Stark,Sports360,1,26,Sports360,mid,cheap
Stark,BSC,2,26,BSC,mid,cheap
Torunarigha,11WINS,1,26,11WINS,young,low
Torunarigha,BSC,2,26,BSC,young,low
Dardai,PROProfil,1,26,PROProfil,teen,low
Dardai,BSC,2,26,BSC,teen,low
Kempf,Sports360,1,26,Sports360,mid,low
Kempf,BSC,2,26,BSC,mid,low
Gechter,Sports360,1,26,Sports360,teen,low
Gechter,BSC,2,26,BSC,teen,low
Boyata,Stirr,1,26,Stirr,old,low
Boyata,BSC,2,26,BSC,old,low
Atemona,Trois,1,26,Trois,teen,nothing
Atemona,BSC,2,26,BSC,teen,nothing
Roecker,Universal,1,26,Universal,mid,nothing
Roecker,BSC,2,26,BSC,mid,nothing
Morgenstern,none,1,26,none,young,nothing
Morgenstern,BSC,2,26,BSC,young,nothing
Mittelstaedt,Sports360,1,26,Sports360,mid,low
Mittelstaedt,BSC,2,26,BSC,mid,low
Bjoerkan,Atta,1,26,Atta,young,low
Bjoerkan,BSC,2,26,BSC,young,low
Plattenhardt,Briem,1,26,Briem,old,low
Plattenhardt,BSC,2,26,BSC,old,low
Zeefuik,SEG,1,26,SEG,young,low
Zeefuik,BSC,2,26,BSC,young,low
Kluenter,Hebel,1,26,Hebel,mid,low
Kluenter,BSC,2,26,BSC,mid,low
Pekarik,ROGON,1,26,ROGON,rusty,nothing
Pekarik,BSC,2,26,BSC,rusty,nothing
Eitschberger,B360,1,26,B360,teen,nothing
Eitschberger,BSC,2,26,BSC,teen,nothing
Tousart,Hexagon,1,26,Hexagon,mid,cheap
Tousart,BSC,2,26,BSC,mid,cheap
Ascacibar,Facundo,1,26,Facundo,mid,cheap
Ascacibar,BSC,2,26,BSC,mid,cheap
Dirkner,ATHLEADZ,1,26,ATHLEADZ,teen,nothing
Dirkner,BSC,2,26,BSC,teen,nothing
Serdar,Sports360,1,26,Sports360,mid,cheap
Serdar,BSC,2,26,BSC,mid,cheap
Ekkelenkamp,ICMStellar,1,26,ICMStellar,young,low
Ekkelenkamp,BSC,2,26,BSC,young,low
Darida,CHS,1,26,CHS,old,low
Darida,BSC,2,26,BSC,old,low
Michelbrink,TF,1,26,TF,young,nothing
Michelbrink,BSC,2,26,BSC,young,nothing
Albrecht,PROProfil,1,26,PROProfil,teen,nothing
Albrecht,BSC,2,26,BSC,teen,nothing
Boateng,eXcellence,1,26,eXcellence,rusty,nothing
Boateng,BSC,2,26,BSC,rusty,nothing
Jastrzembski,SEG,1,26,SEG,young,nothing
Jastrzembski,BSC,2,26,BSC,young,nothing
Dilrosun,MTG,1,26,MTG,young,cheap
Dilrosun,BSC,2,26,BSC,young,cheap
Maolida,USFA,1,26,USFA,young,low
Maolida,BSC,2,26,BSC,young,low
Kade,Lucky13,1,26,Lucky13,teen,nothing
Kade,BSC,2,26,BSC,teen,nothing
Lukebakio,none,1,26,none,young,cheap
Lukebakio,BSC,2,26,BSC,young,cheap
Richter,Sports360,1,26,Sports360,young,cheap
Richter,BSC,2,26,BSC,young,cheap
Nsona,ROGON,1,26,ROGON,teen,low
Nsona,BSC,2,26,BSC,teen,low
LeeD,Apertura,1,26,Apertura,mid,low
LeeD,BSC,2,26,BSC,mid,low
Winkler,ROGON,1,26,ROGON,teen,nothing
Winkler,BSC,2,26,BSC,teen,nothing
Cunha,Bertolucci,1,26,Bertolucci,young,average
Cunha,BSC,2,26,BSC,young,average
Piatek,Fabryka,1,26,Fabryka,mid,cheap
Piatek,BSC,2,26,BSC,mid,cheap
Jovetic,LIAN,1,26,LIAN,old,low
Jovetic,BSC,2,26,BSC,old,low
Belfodil,none,1,26,none,old,low
Belfodil,BSC,2,26,BSC,old,low
Selke,eXcellence,1,26,eXcellence,mid,low
Selke,BSC,2,26,BSC,mid,low
Wollschlaeger,ATHLEADZ,1,26,ATHLEADZ,teen,nothing
Wollschlaeger,BSC,2,26,BSC,teen,nothing
Ortega,Neblung,1,27,Neblung,old,cheap
Ortega,ABF,2,27,ABF,old,cheap
Kapino,feelsoccer,1,27,feelsoccer,mid,nothing
Kapino,ABF,2,27,ABF,mid,nothing
Linner,none,1,27,none,mid,nothing
Linner,ABF,2,27,ABF,mid,nothing
SchulzA,ROGON,1,27,ROGON,teen,nothing
SchulzA,ABF,2,27,ABF,teen,nothing
Pieper,Sports360,1,27,Sports360,young,low
Pieper,ABF,2,27,ABF,young,low
Nilsson,ROOF,1,27,ROOF,mid,low
Nilsson,ABF,2,27,ABF,mid,low
Ramos,Proeleven,1,27,Proeleven,young,nothing
Ramos,ABF,2,27,ABF,young,nothing
Andrade,RELC,1,27,RELC,young,nothing
Andrade,ABF,2,27,ABF,young,nothing
Hoorn,V4S,1,27,V4S,old,low
Hoorn,ABF,2,27,ABF,old,low
Medina,none,1,27,none,young,nothing
Medina,ABF,2,27,ABF,young,nothing
BauerK,none,1,27,none,teen,nothing
BauerK,ABF,2,27,ABF,teen,nothing
Bello,Wasserman,1,27,Wasserman,teen,low
Bello,ABF,2,27,ABF,teen,low
Czyborra,Teamgeist,1,27,Teamgeist,young,low
Czyborra,ABF,2,27,ABF,young,low
Laursen,MB,1,27,MB,mid,low
